customer_id,monthly_charges,tenure_months,contract_type,churn_probability,risk_tier,predicted_churn,actual_churn
84,20.15,49,Two year,0.0211,"Low Risk
(0–30%)",0,0
85,99.3,9,Month-to-month,0.7544,"High Risk
(60–100%)",1,0
86,62.15,35,One year,0.0622,"Low Risk
(0–30%)",0,0
87,20.65,48,Two year,0.0162,"Low Risk
(0–30%)",0,0
88,19.95,46,Two year,0.0181,"Low Risk
(0–30%)",0,0
89,33.75,29,Month-to-month,0.1901,"Low Risk
(0–30%)",0,0
90,82.05,30,Month-to-month,0.2615,"Low Risk
(0–30%)",0,0
91,74.7,1,Month-to-month,0.62,"High Risk
(60–100%)",1,0
92,84.0,66,Two year,0.0276,"Low Risk
(0–30%)",0,0
93,111.05,65,Month-to-month,0.2999,"Low Risk
(0–30%)",0,0
94,100.9,72,Two year,0.1013,"Low Risk
(0–30%)",0,0
95,78.95,12,Month-to-month,0.5579,"Medium Risk
(30–60%)",1,1
96,66.85,71,One year,0.0235,"Low Risk
(0–30%)",0,0
97,21.05,5,Month-to-month,0.1309,"Low Risk
(0–30%)",0,1
98,21.0,52,Two year,0.0211,"Low Risk
(0–30%)",0,0
99,98.5,25,Month-to-month,0.5604,"Medium Risk
(30–60%)",1,1
100,20.2,1,Month-to-month,0.3187,"Medium Risk
(30–60%)",0,0
101,19.45,1,Month-to-month,0.2968,"Low Risk
(0–30%)",0,0
102,95.0,38,One year,0.1256,"Low Risk
(0–30%)",0,0
103,45.55,66,One year,0.0744,"Low Risk
(0–30%)",0,0
104,110.0,68,Two year,0.1402,"Low Risk
(0–30%)",0,1
105,24.3,5,Month-to-month,0.3704,"Medium Risk
(30–60%)",0,0
106,104.15,72,One year,0.1188,"Low Risk
(0–30%)",0,0
107,30.15,32,One year,0.0526,"Low Risk
(0–30%)",0,0
108,94.35,43,One year,0.2049,"Low Risk
(0–30%)",0,0
109,19.4,72,Two year,0.01,"Low Risk
(0–30%)",0,0
110,96.75,55,Month-to-month,0.3568,"Medium Risk
(30–60%)",0,1
111,57.95,52,One year,0.0362,"Low Risk
(0–30%)",0,0
112,91.65,43,Month-to-month,0.4023,"Medium Risk
(30–60%)",0,0
113,76.5,37,Month-to-month,0.499,"Medium Risk
(30–60%)",0,1
114,54.6,64,Two year,0.0507,"Low Risk
(0–30%)",0,0
115,89.85,3,Month-to-month,0.3875,"Medium Risk
(30–60%)",0,0
116,31.05,36,Two year,0.036,"Low Risk
(0–30%)",0,0
117,100.25,10,Month-to-month,0.7257,"High Risk
(60–100%)",1,1
118,20.65,41,Two year,0.0185,"Low Risk
(0–30%)",0,0
119,85.2,27,Month-to-month,0.2898,"Low Risk
(0–30%)",0,0
120,99.8,56,One year,0.2024,"Low Risk
(0–30%)",0,0
121,20.7,6,Month-to-month,0.1288,"Low Risk
(0–30%)",0,0
122,74.4,3,Month-to-month,0.7589,"High Risk
(60–100%)",1,1
123,50.7,7,Month-to-month,0.1835,"Low Risk
(0–30%)",0,0
124,20.85,4,Month-to-month,0.1576,"Low Risk
(0–30%)",0,0
125,88.95,33,Two year,0.055,"Low Risk
(0–30%)",0,0
126,78.05,27,Month-to-month,0.5223,"Medium Risk
(30–60%)",1,1
127,23.55,72,Two year,0.0133,"Low Risk
(0–30%)",0,0
128,19.75,1,Month-to-month,0.3222,"Medium Risk
(30–60%)",0,0
129,56.45,71,One year,0.0807,"Low Risk
(0–30%)",0,0
130,85.95,13,Month-to-month,0.6597,"High Risk
(60–100%)",1,0
131,58.6,25,Month-to-month,0.1786,"Low Risk
(0–30%)",0,1
132,50.55,67,Two year,0.0339,"Low Risk
(0–30%)",0,0
133,35.45,1,Month-to-month,0.727,"High Risk
(60–100%)",1,1
134,44.35,2,Month-to-month,0.4618,"Medium Risk
(30–60%)",0,1
135,25.7,43,Two year,0.0231,"Low Risk
(0–30%)",0,0
136,75.0,23,Month-to-month,0.2714,"Low Risk
(0–30%)",0,0
137,20.2,64,Two year,0.0127,"Low Risk
(0–30%)",0,0
138,19.6,57,Two year,0.0168,"Low Risk
(0–30%)",0,0
139,70.45,1,Month-to-month,0.7631,"High Risk
(60–100%)",1,1
140,88.05,72,Two year,0.0177,"Low Risk
(0–30%)",0,0
141,71.15,8,Month-to-month,0.2223,"Low Risk
(0–30%)",0,1
142,101.05,61,Two year,0.1036,"Low Risk
(0–30%)",0,0
143,84.3,64,One year,0.0494,"Low Risk
(0–30%)",0,0
144,23.95,71,Two year,0.0138,"Low Risk
(0–30%)",0,0
145,99.05,65,Two year,0.034,"Low Risk
(0–30%)",0,0
146,19.6,3,One year,0.0435,"Low Risk
(0–30%)",0,0
147,45.65,1,Month-to-month,0.6418,"High Risk
(60–100%)",1,1
148,64.5,30,One year,0.0666,"Low Risk
(0–30%)",0,0
149,69.5,15,Month-to-month,0.1841,"Low Risk
(0–30%)",0,0
150,68.55,8,Month-to-month,0.3109,"Medium Risk
(30–60%)",0,0
151,95.0,7,Month-to-month,0.6634,"High Risk
(60–100%)",1,1
152,108.15,70,One year,0.1263,"Low Risk
(0–30%)",0,0
153,86.1,62,Two year,0.0237,"Low Risk
(0–30%)",0,0
154,19.7,6,Month-to-month,0.1177,"Low Risk
(0–30%)",0,0
155,80.9,14,Month-to-month,0.4369,"Medium Risk
(30–60%)",0,0
156,84.15,22,Month-to-month,0.4513,"Medium Risk
(30–60%)",0,0
157,20.15,22,One year,0.0316,"Low Risk
(0–30%)",0,0
158,64.25,16,Two year,0.0369,"Low Risk
(0–30%)",0,0
159,25.7,10,Two year,0.0264,"Low Risk
(0–30%)",0,0
160,56.0,13,Month-to-month,0.2141,"Low Risk
(0–30%)",0,0
161,82.4,20,Month-to-month,0.3947,"Medium Risk
(30–60%)",0,1
162,69.7,2,Month-to-month,0.6544,"High Risk
(60–100%)",1,0
163,73.9,53,Two year,0.0465,"Low Risk
(0–30%)",0,0
164,20.6,11,One year,0.042,"Low Risk
(0–30%)",0,0
165,19.9,69,Two year,0.0146,"Low Risk
(0–30%)",0,0
166,70.9,4,Month-to-month,0.5879,"Medium Risk
(30–60%)",1,1
167,89.05,72,Two year,0.0182,"Low Risk
(0–30%)",0,0
168,45.3,58,Month-to-month,0.2762,"Low Risk
(0–30%)",0,1
169,20.4,16,Month-to-month,0.1209,"Low Risk
(0–30%)",0,0
170,84.25,43,One year,0.0605,"Low Risk
(0–30%)",0,0
171,104.4,2,Month-to-month,0.8234,"High Risk
(60–100%)",1,1
172,81.95,14,Two year,0.0576,"Low Risk
(0–30%)",0,0
173,94.85,53,One year,0.2437,"Low Risk
(0–30%)",0,1
174,20.55,32,One year,0.0316,"Low Risk
(0–30%)",0,0
175,24.7,34,Month-to-month,0.1105,"Low Risk
(0–30%)",0,0
176,74.45,15,Month-to-month,0.4741,"Medium Risk
(30–60%)",0,1
177,76.45,7,Month-to-month,0.4018,"Medium Risk
(30–60%)",0,1
178,105.35,15,Month-to-month,0.5487,"Medium Risk
(30–60%)",1,0
179,20.55,61,One year,0.0253,"Low Risk
(0–30%)",0,0
180,29.95,1,Month-to-month,0.5056,"Medium Risk
(30–60%)",1,1
181,45.3,1,Month-to-month,0.504,"Medium Risk
(30–60%)",1,0
182,84.5,8,Month-to-month,0.597,"Medium Risk
(30–60%)",1,1
183,74.75,33,One year,0.084,"Low Risk
(0–30%)",0,0
184,79.25,13,Month-to-month,0.5375,"Medium Risk
(30–60%)",1,1
185,24.8,1,Month-to-month,0.7043,"High Risk
(60–100%)",1,1
186,51.8,20,Month-to-month,0.2103,"Low Risk
(0–30%)",0,0
187,30.4,3,Month-to-month,0.3834,"Medium Risk
(30–60%)",0,0
188,19.65,13,One year,0.0496,"Low Risk
(0–30%)",0,0
189,56.6,40,Month-to-month,0.1815,"Low Risk
(0–30%)",0,0
190,71.9,43,One year,0.0715,"Low Risk
(0–30%)",0,0
191,91.0,6,Month-to-month,0.68,"High Risk
(60–100%)",1,1
192,19.75,69,Two year,0.0137,"Low Risk
(0–30%)",0,0
193,109.7,72,Two year,0.047,"Low Risk
(0–30%)",0,0
194,19.3,59,Two year,0.0137,"Low Risk
(0–30%)",0,0
195,96.55,20,Month-to-month,0.4319,"Medium Risk
(30–60%)",0,0
196,24.1,24,Two year,0.0211,"Low Risk
(0–30%)",0,0
197,111.35,59,Month-to-month,0.4271,"Medium Risk
(30–60%)",0,0
198,112.25,72,Two year,0.0496,"Low Risk
(0–30%)",0,0
199,20.75,1,Month-to-month,0.309,"Medium Risk
(30–60%)",0,0
200,101.9,27,One year,0.2351,"Low Risk
(0–30%)",0,0
201,80.05,14,Month-to-month,0.3953,"Medium Risk
(30–60%)",0,0
202,105.55,71,Two year,0.0994,"Low Risk
(0–30%)",0,0
203,78.3,13,Month-to-month,0.4428,"Medium Risk
(30–60%)",0,0
204,68.85,44,Month-to-month,0.2441,"Low Risk
(0–30%)",0,0
205,79.95,33,One year,0.0897,"Low Risk
(0–30%)",0,0
206,55.45,72,Two year,0.0215,"Low Risk
(0–30%)",0,0
207,79.9,1,Month-to-month,0.8141,"High Risk
(60–100%)",1,1
208,106.6,19,Month-to-month,0.5507,"Medium Risk
(30–60%)",1,1
209,102.45,64,One year,0.199,"Low Risk
(0–30%)",0,0
210,46.0,2,Month-to-month,0.5131,"Medium Risk
(30–60%)",1,1
211,25.25,1,Month-to-month,0.6009,"High Risk
(60–100%)",1,0
212,19.75,61,Two year,0.0146,"Low Risk
(0–30%)",0,0
213,20.0,29,One year,0.0326,"Low Risk
(0–30%)",0,0
214,86.8,23,Month-to-month,0.4731,"Medium Risk
(30–60%)",0,0
215,58.75,57,Month-to-month,0.1335,"Low Risk
(0–30%)",0,0
216,45.25,72,Two year,0.0134,"Low Risk
(0–30%)",0,0
217,56.6,66,Two year,0.0211,"Low Risk
(0–30%)",0,0
218,84.2,65,Two year,0.0351,"Low Risk
(0–30%)",0,0
219,80.0,8,Month-to-month,0.5933,"Medium Risk
(30–60%)",1,0
220,70.15,4,Month-to-month,0.6334,"High Risk
(60–100%)",1,1
221,24.75,71,Two year,0.0164,"Low Risk
(0–30%)",0,0
222,20.2,1,One year,0.0995,"Low Risk
(0–30%)",0,0
223,50.05,4,Month-to-month,0.2584,"Low Risk
(0–30%)",0,1
224,19.35,12,One year,0.0497,"Low Risk
(0–30%)",0,0
225,50.6,24,One year,0.1033,"Low Risk
(0–30%)",0,0
226,81.15,31,One year,0.0781,"Low Risk
(0–30%)",0,0
227,55.2,1,Month-to-month,0.5322,"Medium Risk
(30–60%)",1,1
228,89.9,30,Month-to-month,0.3189,"Medium Risk
(30–60%)",0,0
229,85.3,47,Two year,0.0298,"Low Risk
(0–30%)",0,0
230,108.0,54,Two year,0.1391,"Low Risk
(0–30%)",0,0
231,93.5,50,Month-to-month,0.2171,"Low Risk
(0–30%)",0,0
232,84.6,1,Month-to-month,0.7122,"High Risk
(60–100%)",1,1
233,20.25,72,Two year,0.0159,"Low Risk
(0–30%)",0,0
234,25.15,29,Month-to-month,0.1136,"Low Risk
(0–30%)",0,0
235,54.4,2,Month-to-month,0.5375,"Medium Risk
(30–60%)",1,1
236,29.6,10,Two year,0.076,"Low Risk
(0–30%)",0,0
237,73.15,18,Month-to-month,0.5505,"Medium Risk
(30–60%)",1,0
238,95.0,11,Month-to-month,0.6473,"High Risk
(60–100%)",1,1
239,19.75,16,Two year,0.0221,"Low Risk
(0–30%)",0,0
240,86.6,72,Two year,0.029,"Low Risk
(0–30%)",0,0
241,109.2,72,Two year,0.0534,"Low Risk
(0–30%)",0,0
242,74.7,41,One year,0.0759,"Low Risk
(0–30%)",0,0
243,94.4,65,Month-to-month,0.201,"Low Risk
(0–30%)",0,0
244,54.8,13,Month-to-month,0.3343,"Medium Risk
(30–60%)",0,0
245,75.35,4,Month-to-month,0.4446,"Medium Risk
(30–60%)",0,0
246,65.0,41,One year,0.1319,"Low Risk
(0–30%)",0,0
247,74.4,15,Month-to-month,0.5055,"Medium Risk
(30–60%)",1,1
248,48.55,1,Month-to-month,0.444,"Medium Risk
(30–60%)",0,1
249,99.0,42,One year,0.19,"Low Risk
(0–30%)",0,0
250,93.5,51,One year,0.1212,"Low Risk
(0–30%)",0,0
251,70.4,2,Month-to-month,0.5529,"Medium Risk
(30–60%)",1,1
252,40.2,1,Month-to-month,0.6386,"High Risk
(60–100%)",1,1
253,83.7,32,One year,0.1126,"Low Risk
(0–30%)",0,0
254,19.85,10,Month-to-month,0.1227,"Low Risk
(0–30%)",0,0
255,59.55,67,Two year,0.0534,"Low Risk
(0–30%)",0,0
256,115.1,61,Two year,0.0616,"Low Risk
(0–30%)",0,0
257,114.35,50,One year,0.2084,"Low Risk
(0–30%)",0,0
258,44.6,2,Month-to-month,0.5135,"Medium Risk
(30–60%)",1,1
259,45.0,29,Month-to-month,0.2761,"Low Risk
(0–30%)",0,0
260,41.15,3,Month-to-month,0.6386,"High Risk
(60–100%)",1,1
261,106.9,13,Month-to-month,0.747,"High Risk
(60–100%)",1,1
262,89.85,57,Month-to-month,0.3691,"Medium Risk
(30–60%)",0,0
263,49.85,31,Two year,0.027,"Low Risk
(0–30%)",0,0
264,113.3,45,One year,0.2124,"Low Risk
(0–30%)",0,0
265,88.1,61,Two year,0.0196,"Low Risk
(0–30%)",0,0
266,24.9,50,Two year,0.0208,"Low Risk
(0–30%)",0,0
267,105.0,19,Month-to-month,0.4479,"Medium Risk
(30–60%)",0,0
268,19.35,59,Two year,0.0168,"Low Risk
(0–30%)",0,1
269,24.25,71,Two year,0.0125,"Low Risk
(0–30%)",0,0
270,94.45,16,Month-to-month,0.5666,"Medium Risk
(30–60%)",1,1
271,59.75,57,Two year,0.0265,"Low Risk
(0–30%)",0,0
272,24.8,1,Month-to-month,0.5133,"Medium Risk
(30–60%)",1,1
273,107.05,20,Month-to-month,0.5114,"Medium Risk
(30–60%)",1,0
274,70.6,1,Month-to-month,0.7094,"High Risk
(60–100%)",1,1
275,85.4,5,Month-to-month,0.6979,"High Risk
(60–100%)",1,1
276,105.05,52,Month-to-month,0.5144,"Medium Risk
(30–60%)",1,1
277,64.95,21,Month-to-month,0.1887,"Low Risk
(0–30%)",0,0
278,55.0,14,Month-to-month,0.3791,"Medium Risk
(30–60%)",0,0
279,50.55,5,Month-to-month,0.294,"Low Risk
(0–30%)",0,0
280,55.15,6,Month-to-month,0.1747,"Low Risk
(0–30%)",0,0
281,51.2,10,Month-to-month,0.256,"Low Risk
(0–30%)",0,0
282,25.4,1,Month-to-month,0.2605,"Low Risk
(0–30%)",0,0
283,54.45,68,Month-to-month,0.1111,"Low Risk
(0–30%)",0,0
284,95.15,18,Month-to-month,0.3478,"Medium Risk
(30–60%)",0,1
285,76.0,22,One year,0.1215,"Low Risk
(0–30%)",0,0
286,44.35,20,Month-to-month,0.3225,"Medium Risk
(30–60%)",0,0
287,70.0,1,Month-to-month,0.749,"High Risk
(60–100%)",1,1
288,74.5,8,Month-to-month,0.5899,"Medium Risk
(30–60%)",1,1
289,44.85,10,Month-to-month,0.2776,"Low Risk
(0–30%)",0,1
290,76.1,24,Month-to-month,0.5458,"Medium Risk
(30–60%)",1,1
291,61.2,35,One year,0.0409,"Low Risk
(0–30%)",0,0
292,86.8,23,One year,0.0715,"Low Risk
(0–30%)",0,0
293,89.35,6,Month-to-month,0.7144,"High Risk
(60–100%)",1,0
294,19.7,12,Month-to-month,0.1115,"Low Risk
(0–30%)",0,0
295,20.25,1,Month-to-month,0.3107,"Medium Risk
(30–60%)",0,0
296,76.05,71,Two year,0.058,"Low Risk
(0–30%)",0,0
297,100.8,35,Month-to-month,0.5863,"Medium Risk
(30–60%)",1,0
298,74.55,40,Month-to-month,0.3547,"Medium Risk
(30–60%)",0,0
299,73.6,1,Month-to-month,0.6499,"High Risk
(60–100%)",1,1
300,64.9,23,One year,0.1413,"Low Risk
(0–30%)",0,0
301,95.45,4,Month-to-month,0.8397,"High Risk
(60–100%)",1,1
302,90.4,4,Month-to-month,0.643,"High Risk
(60–100%)",1,0
303,60.3,68,Two year,0.0298,"Low Risk
(0–30%)",0,0
304,81.85,38,Month-to-month,0.3261,"Medium Risk
(30–60%)",0,0
305,24.8,52,Two year,0.0159,"Low Risk
(0–30%)",0,0
306,74.9,32,Month-to-month,0.5055,"Medium Risk
(30–60%)",1,1
307,75.55,29,Two year,0.0417,"Low Risk
(0–30%)",0,0
308,101.15,38,Month-to-month,0.3735,"Medium Risk
(30–60%)",0,0
309,78.75,48,One year,0.1006,"Low Risk
(0–30%)",0,0
310,19.25,1,Month-to-month,0.3247,"Medium Risk
(30–60%)",0,0
311,89.05,22,Month-to-month,0.3129,"Medium Risk
(30–60%)",0,0
312,115.05,43,Two year,0.1086,"Low Risk
(0–30%)",0,0
313,69.35,5,Month-to-month,0.6384,"High Risk
(60–100%)",1,0
314,80.6,5,Month-to-month,0.6969,"High Risk
(60–100%)",1,1
315,110.05,51,One year,0.1513,"Low Risk
(0–30%)",0,0
316,19.9,71,Two year,0.0133,"Low Risk
(0–30%)",0,0
317,80.3,38,One year,0.067,"Low Risk
(0–30%)",0,1
318,93.15,24,Month-to-month,0.5288,"Medium Risk
(30–60%)",1,1
319,91.5,35,Month-to-month,0.3055,"Medium Risk
(30–60%)",0,0
320,82.45,54,One year,0.0906,"Low Risk
(0–30%)",0,1
321,60.0,72,Two year,0.042,"Low Risk
(0–30%)",0,0
322,44.8,1,Month-to-month,0.6029,"High Risk
(60–100%)",1,0
323,48.6,9,One year,0.0544,"Low Risk
(0–30%)",0,0
324,60.05,69,Two year,0.0257,"Low Risk
(0–30%)",0,0
325,102.7,52,Month-to-month,0.3469,"Medium Risk
(30–60%)",0,0
326,82.9,11,Month-to-month,0.6026,"High Risk
(60–100%)",1,0
327,70.35,2,Month-to-month,0.6653,"High Risk
(60–100%)",1,1
328,35.9,28,Month-to-month,0.3526,"Medium Risk
(30–60%)",0,0
329,82.65,17,Month-to-month,0.4377,"Medium Risk
(30–60%)",0,0
330,19.85,35,Two year,0.0176,"Low Risk
(0–30%)",0,0
331,19.2,8,One year,0.0455,"Low Risk
(0–30%)",0,0
332,94.9,46,One year,0.1675,"Low Risk
(0–30%)",0,0
333,73.85,7,Month-to-month,0.7235,"High Risk
(60–100%)",1,1
334,80.6,2,Month-to-month,0.6875,"High Risk
(60–100%)",1,1
335,75.8,68,One year,0.0853,"Low Risk
(0–30%)",0,1
336,104.6,43,Two year,0.2572,"Low Risk
(0–30%)",0,1
337,88.15,68,Two year,0.0396,"Low Risk
(0–30%)",0,0
338,94.8,36,Month-to-month,0.3547,"Medium Risk
(30–60%)",0,0
339,103.4,63,Month-to-month,0.4754,"Medium Risk
(30–60%)",0,1
340,54.65,32,Month-to-month,0.1317,"Low Risk
(0–30%)",0,0
341,85.75,71,Two year,0.0176,"Low Risk
(0–30%)",0,0
342,67.45,66,Month-to-month,0.1001,"Low Risk
(0–30%)",0,0
343,20.5,63,One year,0.0255,"Low Risk
(0–30%)",0,0
344,20.25,41,One year,0.0322,"Low Risk
(0–30%)",0,0
345,72.1,1,Month-to-month,0.8511,"High Risk
(60–100%)",1,0
346,90.4,2,Month-to-month,0.751,"High Risk
(60–100%)",1,1
347,19.45,70,Two year,0.0151,"Low Risk
(0–30%)",0,0
348,44.95,23,Month-to-month,0.4384,"Medium Risk
(30–60%)",0,0
349,97.0,64,One year,0.0886,"Low Risk
(0–30%)",0,0
350,62.8,37,Two year,0.0298,"Low Risk
(0–30%)",0,0
351,44.6,17,One year,0.073,"Low Risk
(0–30%)",0,0
352,89.15,7,Month-to-month,0.7082,"High Risk
(60–100%)",1,0
353,84.8,4,Month-to-month,0.7308,"High Risk
(60–100%)",1,1
354,41.9,21,Month-to-month,0.3957,"Medium Risk
(30–60%)",0,1
355,80.25,10,Month-to-month,0.5631,"Medium Risk
(30–60%)",1,1
356,54.1,16,Month-to-month,0.3563,"Medium Risk
(30–60%)",0,0
357,105.25,64,Two year,0.1566,"Low Risk
(0–30%)",0,0
358,30.75,27,Month-to-month,0.1868,"Low Risk
(0–30%)",0,1
359,97.1,42,One year,0.1786,"Low Risk
(0–30%)",0,0
360,20.2,5,Month-to-month,0.1244,"Low Risk
(0–30%)",0,0
361,98.8,41,Two year,0.086,"Low Risk
(0–30%)",0,0
362,50.3,58,One year,0.0559,"Low Risk
(0–30%)",0,0
363,20.55,47,Two year,0.0201,"Low Risk
(0–30%)",0,0
364,75.9,18,Month-to-month,0.2851,"Low Risk
(0–30%)",0,0
365,96.5,5,Month-to-month,0.6457,"High Risk
(60–100%)",1,1
366,59.95,23,Month-to-month,0.1667,"Low Risk
(0–30%)",0,0
367,19.15,1,Month-to-month,0.2511,"Low Risk
(0–30%)",0,0
368,98.65,71,One year,0.1612,"Low Risk
(0–30%)",0,0
369,112.6,72,Two year,0.0355,"Low Risk
(0–30%)",0,0
370,20.6,33,One year,0.0282,"Low Risk
(0–30%)",0,0
371,85.65,2,Month-to-month,0.8242,"High Risk
(60–100%)",1,1
372,35.75,24,Two year,0.0257,"Low Risk
(0–30%)",0,0
373,99.75,56,One year,0.138,"Low Risk
(0–30%)",0,0
374,96.1,37,Month-to-month,0.3718,"Medium Risk
(30–60%)",0,0
375,85.1,43,One year,0.1164,"Low Risk
(0–30%)",0,0
376,25.35,1,Month-to-month,0.5133,"Medium Risk
(30–60%)",1,0
377,104.95,25,Month-to-month,0.5025,"Medium Risk
(30–60%)",1,1
378,89.65,61,Two year,0.0325,"Low Risk
(0–30%)",0,0
379,86.75,17,One year,0.151,"Low Risk
(0–30%)",0,0
380,86.2,41,One year,0.09,"Low Risk
(0–30%)",0,0
